date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:47:20	35296/35296	---M-Z	200	added ('OK')	text/html	etag:W/%2261bf7202-89e0%22	http://demos.ui-lib.com/gull/html/layout1/charts.apexBubbleCharts.html	C:/Users/User/Desktop/dashboard-completo/liteci/demos.ui-lib.com/gull/html/layout1/charts.apexBubbleCharts.html	(from http://demos.ui-lib.com/gull/html/layout1/datatables.html)
07:47:20	36777/36777	---M-Z	200	added ('OK')	text/html	etag:W/%2261bf7202-8fa9%22	http://demos.ui-lib.com/gull/html/layout1/charts.apexColumnCharts.html	C:/Users/User/Desktop/dashboard-completo/liteci/demos.ui-lib.com/gull/html/layout1/charts.apexColumnCharts.html	(from http://demos.ui-lib.com/gull/html/layout1/datatables.html)
07:47:22	34984/34984	---M-Z	200	added ('OK')	text/html	etag:W/%2261bf7202-88a8%22	http://demos.ui-lib.com/gull/html/layout1/charts.apexCandleStickCharts.html	C:/Users/User/Desktop/dashboard-completo/liteci/demos.ui-lib.com/gull/html/layout1/charts.apexCandleStickCharts.html	(from http://demos.ui-lib.com/gull/html/layout1/datatables.html)
07:47:22	38230/38230	---M-Z	200	added ('OK')	text/html	etag:W/%2261bf7202-9556%22	http://demos.ui-lib.com/gull/html/layout1/charts.apexLineCharts.html	C:/Users/User/Desktop/dashboard-completo/liteci/demos.ui-lib.com/gull/html/layout1/charts.apexLineCharts.html	(from http://demos.ui-lib.com/gull/html/layout1/datatables.html)
07:47:22	36382/36382	---M-Z	200	added ('OK')	text/html	etag:W/%2261bf7202-8e1e%22	http://demos.ui-lib.com/gull/html/layout1/charts.apexMixCharts.html	C:/Users/User/Desktop/dashboard-completo/liteci/demos.ui-lib.com/gull/html/layout1/charts.apexMixCharts.html	(from http://demos.ui-lib.com/gull/html/layout1/datatables.html)
07:47:23	37367/37367	---M-Z	200	added ('OK')	text/html	etag:W/%2261bf7202-91f7%22	http://demos.ui-lib.com/gull/html/layout1/charts.apexPieDonutCharts.html	C:/Users/User/Desktop/dashboard-completo/liteci/demos.ui-lib.com/gull/html/layout1/charts.apexPieDonutCharts.html	(from http://demos.ui-lib.com/gull/html/layout1/datatables.html)
07:47:23	35962/35962	---M-Z	200	added ('OK')	text/html	etag:W/%2261bf7202-8c7a%22	http://demos.ui-lib.com/gull/html/layout1/charts.apexRadarCharts.html	C:/Users/User/Desktop/dashboard-completo/liteci/demos.ui-lib.com/gull/html/layout1/charts.apexRadarCharts.html	(from http://demos.ui-lib.com/gull/html/layout1/datatables.html)
07:47:23	37780/37780	---M-Z	200	added ('OK')	text/html	etag:W/%2261bf7202-9394%22	http://demos.ui-lib.com/gull/html/layout1/charts.apexRadialBarCharts.html	C:/Users/User/Desktop/dashboard-completo/liteci/demos.ui-lib.com/gull/html/layout1/charts.apexRadialBarCharts.html	(from http://demos.ui-lib.com/gull/html/layout1/datatables.html)
07:47:23	35407/35407	---M-Z	200	added ('OK')	text/html	etag:W/%2261bf7202-8a4f%22	http://demos.ui-lib.com/gull/html/layout1/charts.apexScatterCharts.html	C:/Users/User/Desktop/dashboard-completo/liteci/demos.ui-lib.com/gull/html/layout1/charts.apexScatterCharts.html	(from http://demos.ui-lib.com/gull/html/layout1/datatables.html)
07:47:24	37846/37846	---M-Z	200	added ('OK')	text/html	etag:W/%2261bf7202-93d6%22	http://demos.ui-lib.com/gull/html/layout1/charts.apexSparklineCharts.html	C:/Users/User/Desktop/dashboard-completo/liteci/demos.ui-lib.com/gull/html/layout1/charts.apexSparklineCharts.html	(from http://demos.ui-lib.com/gull/html/layout1/datatables.html)
07:47:24	40444/40444	---M-Z	200	added ('OK')	text/html	etag:W/%2261bf7202-9dfc%22	http://demos.ui-lib.com/gull/html/layout1/image.cropper.html	C:/Users/User/Desktop/dashboard-completo/liteci/demos.ui-lib.com/gull/html/layout1/image.cropper.html	(from http://demos.ui-lib.com/gull/html/layout1/datatables.html)
